MinSpeed,MaxSpeed,PerceptionRadius,AvoidanceRadius,MaxSteerForce,AlignWeight,CohesionWeight,SeparateWeight,TargetWeight,AvoidCollisionWeight,CollisionAvoidDst
2.61,7.25,6.93,6.99,4.21,1.95,2.15,2.17,2.09,6.96,9.47
2.26,6.703879,6.94,7.133985,4.361447,1.90404,1.876275,1.985788,2.356122,7.144651,9.652942
2.222376,6.556312,7.02,7.24,4.165857,1.882791,1.56,1.941005,2.45,6.82,9.53
2.11,6.123143,7.4,7.3,3.71546,1.888072,1.671123,1.723514,2.336061,7.174028,9.917699
1.591682,5.456283,7.41723,7.17191,3.543608,1.642119,2.17324,2.275165,2.529415,7.082849,10.19111
1.5,5.165418,7.390612,7.167313,3.61,1.293966,2.12324,2.01448,2.549281,7.347112,10.41111
1.41,5.006405,7.66,6.977313,3.62,0.7804463,2.185793,2.093026,2.359306,7.326459,10.74111
1.33,4.359236,7.78603,6.870153,3.76,0.6444935,2.18972,2.177808,2.432403,7.478515,10.83156
1.238345,4.017098,7.891233,6.810307,3.730138,0.3634646,2.275604,2.176556,2.333756,7.612807,10.79209
1.163217,3.787163,7.932837,6.800945,3.796467,0.5623806,2.063211,2.0476,2.444371,7.545431,10.60226
1.164663,3.577439,8.133045,6.750153,3.82585,0.1559626,2.115162,2.076163,2.379413,7.446651,10.89743
1.094653,3.477669,8.292787,6.665339,3.662819,-0.1205064,2.096773,2.098334,2.308468,7.58099,11.14383
1.108659,3.471548,8.38088,6.605339,3.738436,-0.6514528,2.131922,1.984237,2.419599,7.536185,11.38209
1.100555,3.56193,8.247208,6.545339,3.676575,-1.161792,2.12587,2.069776,2.288034,7.739127,11.46984
1.070607,3.569971,8.297753,6.565339,3.631508,-1.410188,2.225754,1.939958,2.301889,7.863387,11.60661
1.106363,3.472863,8.360482,6.565339,3.423742,-1.668934,2.235754,2.050948,2.189687,7.938261,11.84338
1.075551,3.338022,8.426169,6.62125,3.327828,-1.912026,2.197793,1.876039,2.286322,8.046979,11.70338
1.053773,3.321178,8.366925,6.61125,3.305161,-2.211946,2.197559,1.563277,2.197025,7.82916,11.68209
1.033973,3.344975,8.445948,6.746819,3.239087,-2.544303,2.198976,1.368748,2.177038,7.95916,11.78984
1.019926,3.105059,8.400647,6.826819,3.069087,-2.522578,2.238976,1.276814,2.15744,8.17098,11.64901
0.944819,2.968372,8.460032,6.765911,3.077944,-2.776842,2.15117,1.125978,2.127707,8.23098,11.73758
0.9809871,2.919818,8.476192,6.73,3.111394,-2.722613,2.109365,1.165978,2.081738,8.340503,11.81758
1.036955,2.768036,8.473576,6.747833,3.078766,-2.814848,2.138976,0.9946396,2.077186,8.437955,11.63663
1.056755,2.651489,8.517745,6.737833,2.927027,-2.836572,2.098975,0.82365,2.071817,8.497955,11.67663
1.01628,2.574234,8.590362,6.707833,2.851684,-2.834239,2.078656,0.70365,1.990538,8.60249,11.72437
0.9566919,2.546896,8.620361,6.767833,2.816341,-2.793151,2.067559,0.63365,2.02434,8.679309,11.78438
0.9205238,2.493585,8.639384,6.837833,2.796889,-2.793844,2.067559,0.53365,2.114057,8.669309,11.76437
0.9368922,2.466248,8.699384,6.827833,2.841595,-2.796176,2.056851,0.5606756,2.114025,8.631855,11.70438
0.9446304,2.520923,8.699384,6.867833,2.861321,-2.783842,2.036851,0.4906756,2.054025,8.629635,11.78438
0.9334608,2.543185,8.723909,6.927833,2.91219,-2.786175,2.035045,0.4706756,2.101924,8.672859,11.78438
0.9136611,2.445032,8.753909,6.88,2.955842,-2.842155,2.025045,0.4706756,2.087926,8.666469,11.75307
0.8783852,2.390357,8.839454,6.95,2.975568,-2.807572,2.014337,0.4827781,2.070089,8.696468,11.77307
0.8344787,2.342208,8.857325,6.94,2.974152,-2.788294,2.028377,0.4427781,2.010223,8.693302,11.81612
0.7630346,2.308345,8.866467,6.9,2.994152,-2.808957,2.028377,0.3927781,2.020223,8.641482,11.81612
0.7534366,2.308345,8.886468,6.84,3.0047,-2.789679,2.028377,0.3927781,2.000223,8.661483,11.77612
0.7722974,2.308345,8.892013,6.89,3.048626,-2.788986,2.008377,0.3755583,1.900223,8.701483,11.85612
0.7722972,2.329561,8.921706,6.91,3.095657,-2.75101,2.00324,0.3458453,1.937721,8.731483,11.83612
0.7722972,2.315634,8.916917,6.83,3.048344,-2.713727,1.99324,0.3496524,1.879655,8.741483,11.79612
0.7985266,2.302315,8.916917,6.87076,3.128166,-2.715112,2.014811,0.3101101,1.821456,8.734649,11.85612
0.7443898,2.284639,8.883934,6.880761,3.064059,-2.833012,2.014811,0.2138885,1.939521,8.782701,11.78305
0.7800086,2.284639,8.919477,6.887887,3.064381,-2.878302,2.014811,0.1881472,1.909688,8.776703,11.80305
0.771719,2.284639,8.919477,6.89076,3.050729,-2.898273,2.014811,0.198157,1.914292,8.808523,11.88305
0.7800607,2.284639,8.893933,6.83076,3.037625,-2.933802,2.014811,0.1731458,2.006226,8.744883,11.80305
0.8075987,2.278481,8.913934,6.820761,3.043698,-2.901192,2.014811,0.1668862,1.964458,8.753541,11.74305
0.8075987,2.278481,8.913934,6.860761,3.033424,-2.919085,1.99324,0.1524703,1.92846,8.753541,11.7746
0.7912303,2.278481,8.925021,6.87076,3.043698,-2.933803,1.99324,0.1537994,1.91271,8.775361,11.7546
0.7534906,2.291799,8.925021,6.83,3.079044,-2.944347,1.99324,0.1337994,1.980776,8.765362,11.8146
0.7896588,2.291799,8.930565,6.83,3.082696,-2.950966,1.99324,0.1406543,1.889437,8.683541,11.79921
